Action,action,Event
ActionAttributeLevelQuantity,action attribute level quantity,ScalarQuantity
ActionFigure_Toy,action figure,Doll_Toy
ActionGameProgram,action game,ComputerGameProgram
ActionMovie,action movie,Movie_CW,PropositionalConceptualWork_ActionGenre
ActionOnObject,action on an object,Action,PhysicalEvent
ActionTypeByLegality,legality,umbel#TopicsCategories,FacetInstanceCollection
Action_Device_Topic,action-device-topic,Devices_Topic
Actions_Topic,actions-topic,umbel#TopicsCategories
ActivatedDimethicone,activated dimethicone,UlcerMedication
ActiveBuyingActivity,active buying,BuyingActivity
ActiveDeviceState,active device state,umbel#Products
ActiveMatrixDisplay,active matrix display,ElectronicDisplayDevice
ActiveSonar_Device,active sound navigation ranging device,SONAR_Device
Activism,political protest,umbel#Society,Politics
ActivityTypeFocusGroup,organization focused on a particular activity type,Organization
Actor,actor,Artist_Performer
ActorActressTypeByPerformanceType,actor actress type by performance type,umbel#TopicsCategories,FacetInstanceCollection
ActorInMovies,movie actor,Actor
ActorInMusicals,musical actor,ActorInPlays,Dancer_Performer,Singer
ActorInPlays,stage actor,Actor
ActorOnTV,television actor,Actor
ActorTypeByMedium,type of actor classified by medium,ExistingObjectType,FacetInstanceCollection
Actor_Voice,voice star,Actor
Actress,actress,Actor,FemaleHuman
Acts_BookOfBible,the Acts of the Apostles,umbel#WrittenInfo
Actuary,actuary,DeskWorker,Professional
Acupressure,acupressure,Alternative,Massaging
Acupuncture,acupuncture,Alternative,EnergyHealing
AcupunctureNeedle,acupuncture needle,HandTool,Needle
Acupuncturist,acupuncture practitioner,AlternativeMedicinePractitioner
AcuraCLCar,Acura CL,umbel#Products,Individual
AcuraCar,Acura car,Automobile_GasolineEngine,JapaneseCar
AcuraIntegraCar,Acura Integra,AcuraCar
AcuraLegendCar,Acura Legend,AcuraCar,LuxuryCar
AcuraNSXCar,acura nsx,AcuraCar,SportsCar
AcuraRLCar,RL,umbel#Products,Individual
AcuraTLCar,TL,AcuraCar
Acyclovir,acyclovir,Antiviral
Ada_ProgrammingLanguage,Ada,umbel#Notations
