25996,Register
26006,Rom
26024,RMS
26028,Relationship
26062,RN
26067,Rotary
26080,Ruth
26113,Roman
26116,Robert Stevens
26145,Record
26188,Relativity
26207,Robert Herrick
26228,Rondeau
26266,Rhea
26269,Richard Butler
26297,Ripe
26317,Range
26340,Red China
26376,Remedy
26401,Rochester
26409,Richard Doyle
26418,Reactor
26431,Receptor
26509,Riverside
26511,RPN
26521,Rob Roy
26524,Rogue
26544,Reichstag
26568,Regression
26575,Razz
26739,Stop
26754,Seal
26758,SGI
26766,Sapiens
26785,Sanctions
26799,Scanner
26842,Salting
26907,Social engineering
26929,Spanish
26931,Scorpio
26934,Scheme
26938,SF
26966,Sedan
26979,Substance
26981,Solaris
27018,Stress
27495,Slavic
27540,Sprouts
27715,Saint Louis
27727,Solid state
27775,STM
27793,Shoa
27812,Specie
27854,Separability
27871,Stephen III
27872,Stephen II
27900,Sambo
27905,Snooper
27911,Spam
27913,Super Mario
27933,Sabrina
27960,Sessions
27962,Session
27983,Surd
28012,Series
28117,SAC
28133,Strike
28159,Scottish
28171,SA
28224,Smith
28245,SQL Server
28251,Software package
28259,Seneca
28273,Shell
28291,Sequencer
28321,Survivor
28373,Sigismund I
28451,Swahili
28473,Signal
28578,Steve Jackson
28641,SJK
28656,Second law
28659,Singularity
28660,Sublime
28708,Sleet
28725,Sonet
28749,Sutta
28801,SLD
28846,STD
28884,SOE
28889,Scotch-Irish
28926,Spin
28928,Sinope
28929,Seven Sisters
28940,Subtitle
28946,Stability
28965,Saraswati River
28968,Skycar
29049,SSB
29121,SSL
29187,SDI
29196,SDL
29271,Scale
29290,Samuel Huntington
29292,Script
29393,Spring
29472,SADC
29532,Sebastian Shaw
29592,SLA
29598,Sprite
29623,Segway
29637,Subspace
29651,SAS
29803,Tamil
29981,TS
29993,The Thin Blue Line
30013,Tone
30064,The Fugitive
30358,TSR
30386,Tunneling
30425,Tuner
30544,Theory of value
30587,Talking Head
30595,Track
30599,Tambo
30605,The Tube
30703,TRN
30749,Tanker
30777,Two-step
30783,Transformation
30912,Transcription
30933,TCA
30937,TDMA
30939,Trenton
30947,Titan
31003,Third law
31014,Triple
31073,TCP
31097,Trinitarian
31151,Thresher
31172,Tethys
31184,Tissue
31202,Thalassa
31227,Terminator
31270,Traffic engineering
31324,Triple Alliance
31336,Terran
31346,Theme
31374,Treaty of Berlin
31377,TRF
31414,Tessin
31421,Turkic
31432,Tolerance
31515,The Avengers
31585,Thornapple
31592,TVP
31781,Unit
31865,Unicon
31867,Under Suspicion
31878,Ultimate
31886,UKP
32042,UDP
32046,Up
32170,UML
32189,Underground railway
32199,UOP
32214,UU
32216,Unitarian
32318,Ulysses
32463,History of the Virgin Islands
32526,Vasa
32548,Vaticanus
32741,Victoria University
32752,Vienna Convention
32770,Varyag
32779,VBA
32800,Victoria College
32810,VLB
32818,Variable
32837,Vietnamese
33269,William I
33300,Waterloo
33454,Web
33511,Wikification
33519,Weak
33546,Welsh
33554,Widget
33642,Warrant
33663,Work
33675,William II
33710,Woozy
33785,Western
33813,Wash
33877,Winad
33989,Washington Treaty
34068,Wilmington
34163,Xe
34175,Aveh
34193,XP
34210,XXX
34332,Y combinator
34534,Zeno
36533,Jubilee
36585,Orange Park
36598,AS-204
36600,ECMA
36645,Bob Welch
36651,ESP
36697,Shirakawa
36744,Iris
36807,Football Hall of Fame
36843,ICRM
36859,Celtic
36868,CIS
36889,IOM
36914,Egg
36934,Network
36938,Columbia
37039,Environment
37165,Grand Slam
37184,Colossus
37194,Jonathan Edwards
37298,Media
37326,Calpurnia
37341,Republican
37355,Etruscan
37364,Thebes
37422,Loop
37423,Bend
37424,Colorimeter
37425,Equilibrium
37448,Overhand
37486,Nuke
37510,Respiration
37519,Hassan
37542,DDR
37546,Palm
37600,Axis
37603,Baltic
37633,Mount Aetna
37650,Period
37657,CVS
37715,Allegro
37716,Presto
37724,Largo
37725,Tuning
37777,Dragon Book
37825,CNF
37828,DNF
37868,Porphyry
37900,Amelia
37961,ECE
37965,Pliny
37971,Pike
37987,WCL
38015,Epic
38027,Risa
38059,PCA
38125,Bullhead
38159,Radlab
38224,Pitch
38227,Relation
38254,Abyssinian
38297,Madonna
38325,Descent
38338,Horikawa
38357,Mine
38366,SDH
38405,Octet
38494,Tiling
38526,Bayesian
38587,Charles IX
38795,Maximilian II
38808,Compression
38832,CRC
38918,Nijō
38920,Rokujō
38922,Takakura
38995,Pepper
39005,Antenna
39056,Saint Anselm
39158,Superior
39170,Flash
39172,Clustering
39231,MFT
39253,SVS
39280,UW
39306,Crack
39344,Franchise
39350,Compact
39391,Center
39602,Roma
39610,George Hamilton Gordon
39734,LCF
39738,Kingdom
39780,Glome
40030,Killer
40168,ATF
40270,Vibrator
40325,Positive semidefinite
40366,ADC
40386,EFF
40390,Chat
40524,Banglades
40573,NLP
40633,Redundancy
40677,Cornish
40679,Abort
40680,Absolute gain
40682,Access
40696,Address
40737,Attenuator
40738,Attribute
40743,Aurora
40751,Automatic data processing
40758,Auxiliary power
40762,Backbone
40785,Bel
40801,Bit-stream transmission
40808,Block
40810,Blocking
40821,Buffer
40827,Bypass
40829,Call
40845,Carrier
40860,Channel
40867,Chip
40868,Chirping
40870,Circuit
40877,Cladding
40879,Clearing
40882,Clipping
40892,Coding
40901,Comma-free code
40930,Compatibility
40932,Compile
40934,Component
40937,Computer conferencing
40949,Congestion
40954,Contention
40956,Contrast
40965,Copy
40967,Core
40973,Cover
40974,Critical angle
41008,Degradation
41012,Delay
41014,Delay line
41044,Direct access
41045,Direct connect
41067,Drift
41070,Dropout
41071,DTE
41075,Duct
41108,Encode
41125,Exchange
41143,Fault
41147,Feed
41164,Foreign exchange service
41177,Framing
41192,Frequency shift
41202,Fuse
41204,Gateway
41205,Gating
41217,Ground loop
41240,Hop
41242,Horn
41264,Input
41270,Intercept
41271,Interchangeability
41275,Interface
41299,Justify
41303,K-factor
41310,Layer
41319,Link
41323,Load
41327,Lobe
41348,Maintenance
41352,Margin
41371,Mixer
41426,Normalized frequency
41453,Operation
41475,Overflow
41478,Override
41479,Overshoot
41487,Party line
41500,Penetration
41552,Phonetic alphabet
41555,Pilot
41572,Precision
41582,Priority
41607,Pulsing
41608,Pumping
41611,Quadrature
41627,Random number
41637,Reference clock
41648,Regeneration
41651,Reliability
41652,Remote access
41659,Resolution
41661,Response
41664,Restoration
41676,Saturation
41677,Scan
41681,Screen
41690,Sensitivity
41696,Shannon's law
41697,Sheath
41702,Signal compression
41718,Skew
41722,Slave station
41724,Slip
41740,Standby
41746,Statement
41767,Synchronism
41791,Threshold
41807,Transmission
41819,Transposition
41825,Trunk
41844,Validation
41848,View
41853,Virtual storage
41872,Work station
41892,Terminal
41895,Craig Barrett
41904,Storage
41910,Aftermarket
41912,Allotment
41918,Bond
41919,Bonds
41933,Cold-blooded
41969,Loss
41986,Von Neumann machine
41988,Path
42088,Reification
42167,Beam
42202,Norman
42226,Ben-Hur
42328,Diversity
42333,Sumeria
42588,Binding
42598,AT
42623,Mughal
42736,VOC
42760,JTA
42918,JSP
43021,Fata Morgana
43077,Propagation
43095,UDC
43189,Phyla
43275,Malaya
43287,RMI
43320,Cypherpunks
43353,Latvian
43372,Irene
43374,Nicephorus
43408,Agrippina
43458,Jin Dynasty
43475,Mutt
43480,Montgomery County
43500,Ganja
43523,Khmer
43610,Grease
43614,Arsinoe
43645,Method
43650,CFG
43700,Flintstone
43706,Sill
43806,A Beautiful Mind
43850,More
43852,Autonomous system
43857,C64
43947,Protium
43959,Beaker
43968,Dalton
44020,DSP
44042,Rubi
44043,Rawa
44048,Northern Province
44126,Hitch
44130,Plait
44156,Clue
44159,Coda
44198,Mexican War
44202,Statecraft
44242,Hara
44260,"Albion, New York"
44314,Battle of Nineveh
44321,CAPI
44329,Severus
44330,Bow
44368,Transom
44369,Treble
44384,TLS
44405,Kabala
44435,Rostrum
44438,Gosnells
44460,Interpretation of dreams
44572,Hackney
44694,Greenlandic
44763,D10
44764,D6
44791,Battle of Dunbar
44851,Radical Party
44898,Mafioso
44957,KLA
44959,Telluride
44960,Drake Hotel
44985,Sampler
44986,Sampling
45043,PSD
45055,Siracusa
45073,Credit
45074,Sting
45092,Henry V
45125,Thematic role
45160,Chrysolite
45192,Schumann
45195,Vizcaya
45212,Timberline
45226,Snark
45229,Congruence
45252,Orange County
45300,Thread
45313,Quadruple Alliance
45326,USC
45339,Feline
45443,Gaian
45452,Frederick County
45458,Crossbar
45587,Chukyo
45589,Shijō
45594,Kameyama
45623,Informer
45630,Peter III
45641,UPS
45761,Fushimi
45764,Hanazono
45866,Amaya
45877,Sigmoid
45913,Red Planet
45978,Ergative
46030,Alleghany County
46084,MOPE
46267,Encaustic
46291,Xerxes
46296,Jassy
46308,Treaty of Paris
46367,Tarfu
46464,EPC
46575,Tare
46602,Darius
46620,Clark County
46632,The Young Ones
46637,Dow
46727,T1
46730,E1
46774,Malagasy
46799,Long Valley
46826,Windsor
46842,Boojum
46886,Japanese relocation
46919,Coptic
46923,Nubian
46954,Lock
46958,Lifter
47019,OBL
47047,"Long Valley, California"
47100,Montpelier
47109,Archibald Leach
47131,Airborne Warning and Control System
47140,Vesta
47145,CMO
47202,Karl Koch
47269,Navajo
47305,Closure
47341,Date
47342,Sinker
47343,Sunfish
47358,Sea bass
47413,Amp
47442,Roc
47469,Amor
47496,Biota
47499,Boreal
47500,Northern
47537,Configuration
47556,Summertime
47580,Kingfish
47582,Blackfish
47599,Unconscious
47617,Rook
47645,Value
47663,Breguet
47698,Victoria Adams
47714,Domain
47715,Station
47718,Flagstaff
47721,Carrier frequency
47770,TTL
47778,Maskun
47780,Ponape
47912,Chance
47927,Job
48022,UGB
48031,Schema
48040,Route
48058,Play School
48100,Basic
48106,Recurrence
48107,CTW
48141,Mac
48166,A priori
48178,Chinook
48192,National Liberation Army
48195,Green money
48198,Lime
48201,NLA
48221,Point
48231,PCB
