Abuja,{{en-proper noun}}
Abujmaria,{{en-proper noun}}
Abukir,{{en-proper noun}}
Abuna,{{en-proper noun|-}}
Abuna,{{en-proper noun}}
Abundius,{{en-proper noun}}
Abun,{{en-proper noun}}
Abung,{{en-proper noun}}
Abure,{{en-proper noun}}
Abu Simbel,{{en-proper noun|head=[[Abu Simbel]]}}
Abxazo,{{en-proper noun}}
Abydos,{{en-proper noun}}
AB-yogurt,{{en-proper noun|head=[[AB]]-[[yogurt]]}}
Abyssian,{{en-proper noun}}
Abyssinia,{{en-proper noun}}
Abyssinian,{{en-proper noun}}
Abzu,{{en-proper noun}}
Acacian,{{en-proper noun|undefined}}
Académie Française,{{en-proper noun|head=[[Académie]] [[Française]]}}
Academy,{{en-proper noun|-}}
Acadia,{{en-proper noun}}
Acadian,{{en-proper noun}}
Acadian French,{{en-proper noun|head=[[Acadian]] [[French]]|undefined}}
Acalepha,{{en-proper noun|undefined}}
Acalypterae,{{en-proper noun|undefined}}
Acalyptrata,{{en-proper noun|undefined}}
Acanthad,{{en-proper noun|s}}
Acapulco,{{en-proper noun}}
Accad,{{en-proper noun}}
Accra,{{en-proper noun}}
Accy,{{en-proper noun}}
Ace,{{en-proper noun|Aces|-}}
Aceh,{{en-proper noun}}
Acehnese,{{en-proper noun}}
Acela,{{en-proper noun}}
Aces,{{en-proper noun}}
Aceso,{{en-proper noun}}
Achab,{{en-proper noun}}
Achæa,{{en-proper noun}}
Achaea,{{en-proper noun|Achaea}}
Achaemenes,{{en-proper noun}}
Achæmenes,{{en-proper noun}}
Achaemenid Empire,{{en-proper noun}}
Achagua,{{en-proper noun}}
Achaia,{{en-proper noun}}
Achaius,{{en-proper noun}}
Achall,{{en-proper noun}}
Achang,{{en-proper noun}}
Achara,{{en-proper noun}}
Acharya,{{en-proper noun}}
Achaz,{{en-proper noun}}
Ache,{{en-proper noun}}
Acheloos,{{en-proper noun}}
Achelous,{{en-proper noun}}
Acheron,{{en-proper noun}}
Acheron Fossae,{{en-proper noun}}
Acheson,{{en-proper noun}}
Achi,{{en-proper noun}}
Achilles,{{en-proper noun}}
Achinese,{{en-proper noun}}
Acholi,{{en-proper noun}}
Achterhoeks,{{en-proper noun}}
Achuar,{{en-proper noun}}
Achuar-Shiwiar,{{en-proper noun}}
Achumawi,{{en-proper noun}}
Ackerman,{{en-proper noun}}
Ackermann,{{en-proper noun}}
Ackinchesacky,{{en-proper noun}}
ACLU,{{en-proper noun}}
ACMA,{{en-proper noun}}
ACME,{{en-proper noun}}
ACOG,{{en-proper noun}}
Acol,{{en-proper noun}}
Acoli,{{en-proper noun}}
Acoma,{{en-proper noun}}
Aconcagua,{{en-proper noun}}
Acre,{{en-proper noun}}
Acre,{{en-proper noun}}
Acre,{{en-proper noun}}
Acroá,{{en-proper noun}}
Acropolis,{{en-proper noun}}
Act.,{{en-proper noun}}
Action démocratique du Québec,{{en-proper noun}}
Action democratique,{{en-proper noun}}
Action démocratique,{{en-proper noun|head=[[action|Action]] [[démocratique]]}}
ActionScript,{{en-proper noun|s}}
Acton,{{en-proper noun}}
Acts,{{en-proper noun}}
Acts of the Apostles,{{en-proper noun}}
ACTU,{{en-proper noun}}
ADAA,{{en-proper noun}}
Adabe,{{en-proper noun}}
Adad,{{en-proper noun}}
Ada,{{en-proper noun}}
ADA,{{en-proper noun}}
Adah,{{en-proper noun}}
Adair,{{en-proper noun}}
Adal,{{en-proper noun}}
