509,,Street,Street_Generic
510,X,ProtectedArea,WildlifeReserve
512,,SkiArea,SkiArea
513,,SkiResort,SkiResort_Attraction
514,X,SportFacility,SportsPlayingArea
515,,CricketGround,CricketField
516,,GolfCourse,GolfCourse
517,,RaceTrack,RaceTrack
518,,Racecourse,CarRaceTrack
519,,Stadium,Stadium
520,,WineRegion,ViticulturalDomain
522,,Polyhedron,Polyhedron
523,,Population,Population
527,,Sales,SalesActivity
529,,Species,BiologicalSpecies
530,,Archaea,Archaea
531,,Bacteria,Bacterium
532,X,Eukaryote,EukaryoticOrganism
533,,Animal,Animal
534,,Amphibian,Amphibian
535,,Arachnid,Arachnid
536,,Bird,Bird
537,,Crustacean,Crustacean
538,,Fish,Fish
539,,Insect,Insect
540,,Mammal,Mammal
541,,Dog,Dog
542,,RaceHorse,Racehorse
543,,Mollusca,Mollusk
544,,Reptile,Reptile
545,,Fungus,Fungus
546,,Plant,Plant
547,,ClubMoss,LycophytinaSubdivision
548,,Conifer,Conifer
549,,CultivatedVariety,Cultivar
550,,Cycad,Cycad
551,,Fern,Fern
552,,FloweringPlant,FloweringPlant
553,,Grape,GrapeVine
554,,Ginkgo,Ginkgo
555,,Gnetophytes,GnetopsidaClass
557,,Moss,Moss
559,,OlympicResult,OlympicCompetition
560,X,SportsSeason,SportSeason
562,X,SportsTeamSeason,SportSeason
563,,BaseballSeason,BaseballSeason
564,,FootballLeagueSeason,FootballSeason
569,,Statistic,Statistics
573,,Tax,Tax_COC
574,,TimePeriod,TimeInterval
575,,GeologicalPeriod,GeologicalTimePeriod
576,,HistoricalPeriod,HistoricalPeriod
578,X,PrehistoricalPeriod,Prehistoric
580,,Year,CalendarYear
582,,TopicalConcept,TopicsCategories
583,,ChristianDoctrine,Christianity
584,,Fashion,FashionableStyle
586,,MovieGenre,MovieTypeByGenre
588,,Ideology,PoliticalBeliefSystem
589,,SystemOfLaw,LegalCode
590,,Taxon,BiologicalTaxon
591,,Type,Collection
592,,DocumentType,Document_CW
595,X,Case,CourtCase
596,,LegalCase,CourtCase
598,,Project,Project
599,,ResearchProject,ResearchProject
600,X,Unknown,Thing
601,,Work,ConceptualWork
602,X,Artwork,VisualWork_CW
603,,Painting,Painting_ArtForm
604,,Sculpture,Sculpture
606,,Cartoon,Cartoon
607,,Anime,Anime
608,,HollywoodCartoon,Cartoon
610,,Archive,Archive
611,,Film,Movie_CW
613,,Musical,MusicalDrama
614,,MusicalWork,MusicalComposition
615,X,Album,Album_CW
617,,ClassicalMusicComposition,MusicalCompostion_Classical
618,,Opera,Opera_CW
619,,Single,MusicSingle
620,,Song,MusicalComposition_Song
622,,RadioProgram,RadioShow_CW
623,,Software,SoftwareObject
624,,ProgrammingLanguage,ComputerLanguage
625,,VideoGame,ComputerGameProgram
626,,TelevisionEpisode,TVShow_SingleCW
628,X,TelevisionShow,TVShow_CW
629,,Website,WorldWideWebPage_PCW
630,,WrittenWork,TextualPCW
631,,Annotation,Note_Document
632,,Reference,ReferenceWork
633,,Book,Book_CW
634,,Novel,Novel_CW
635,,LightNovel,Novella
636,,Comic,ComicalMode
637,,Comics,ComicBookSeries
638,,ComicStrip,ComicStrip
639,,Manga,Manga
642,,Drama,PropositionalConceptualWork_DramaGenre
644,,MultiVolumePublication,ConceptualWorkSeries_Periodic
645,,PeriodicalLiterature,PeriodicalSeries
646,,AcademicJournal,JournalSeries
647,,Magazine,Magazine
648,,Newspaper,NewspaperSeries
649,,Play,Play_CW
650,,Poem,Poem_CW
652,,StatedResolution,AuthorizedAgreement
6,,Boxing,BoxingSport_CW
47,,AustralianFootballLeague,AustralianFootballLeague
82,,CricketTeam,CricketTeam
91,,TermOfOffice,TimeInPosition_Served
121,X,AustralianRulesFootballPlayer,FootballPlayer_Australian
122,,BadmintonPlayer,BadmintonPlayer
131,,Cricketer,Cricketer
135,,Fencer,SabreFencer
143,,HandballPlayer,TeamHandballPlayer
147,,LacrossePlayer,LacrossePlayer
155,,NascarDriver,NASCARDriver
167,,SquashPlayer,SquashPlayer
173,,VolleyballPlayer,VolleyballPlayer
191,,CollegeCoach,CollegeCoach
217,X,Noble,AristocratTypeByTitle
311,,EthnicGroup,PersonTypeByEthnicity
313,,LifeCycleEvent,TheHumanLifeCycle
325,,FilmFestival,FilmFestival
328,,MusicFestival,MusicFestival
345,,WomensTennisAssociationTournament,WomensTennisAssociationTournament
352,,ControlledDesignationOfOriginWine,WineTypeByRegion
357,X,GrossDomesticProduct,ComplexQuantityPredicate
361,,Imdb,InternetMovieDatabase
490,,District,District_State_Geopolitical
511,,SiteOfSpecialScientificInterest,UNESCOWorldHeritageSite
521,,WorldHeritageSite,UNESCOWorldHeritageSite
587,X,MusicGenre,MusicalCompositionTypeByGenre
593,X,GovernmentType,GeopoliticalEntityBySystemOfGovernment
594,,UnitOfWork,WorkQuantity
605,X,Broadcast,BroadcastMediaShow_CW
612,,LineOfFashion,ClothingTypeByStyle
651,,Resume,Resume
7,,BoxingCategory,BoxingSport_CW
8,,BoxingStyle,BoxingSport_CW
44,,SambaSchool,EducationalOrganization
45,,SportsLeague,SportsLeague
46,,AmericanFootballLeague,SportsLeague
48,,AutoRacingLeague,SportsLeague
50,,BasketballLeague,SportsLeague
51,,BowlingLeague,SportsLeague
52,,BoxingLeague,SportsLeague
53,,CanadianFootballLeague,SportsLeague
54,,CricketLeague,SportsLeague
55,,CurlingLeague,SportsLeague
56,,CyclingLeague,SportsLeague
57,,FieldHockeyLeague,SportsLeague
58,,FormulaOneRacing,SportsLeague
59,,GolfLeague,SportsLeague
60,,HandballLeague,SportsLeague
61,,IceHockeyLeague,SportsLeague
62,,InlineHockeyLeague,SportsLeague
63,,LacrosseLeague,SportsLeague
64,,MixedMartialArtsLeague,SportsLeague
65,,MotorcycleRacingLeague,SportsLeague
66,,PaintballLeague,SportsLeague
67,,PoloLeague,SportsLeague
68,,RadioControlledRacingLeague,SportsLeague
69,,RugbyLeague,SportsLeague
70,,SoccerLeague,SportsLeague
71,,SoftballLeague,SportsLeague
72,,SpeedwayLeague,SportsLeague
73,,TennisLeague,SportsLeague
74,,VideogamesLeague,SportsLeague
75,,VolleyballLeague,SportsLeague
77,,AmericanFootballTeam,FootballTeam
78,,AustralianFootballTeam,FootballTeam
81,,CanadianFootballTeam,FootballTeam
83,,CyclingTeam,SportsTeam
84,,FormulaOneTeam,SportsTeam
85,,HandballTeam,SportsTeam
89,,NationalSoccerClub,SportsTeam
90,,SpeedwayTeam,SportsTeam
100,,AdultActor,Actor
107,,Humorist,Comedian
110,,ClassicalMusicArtist,MusicalPerformer
130,,ChessPlayer,Strategist
132,,Curler,Athlete
133,,Cyclist,Cyclist_Athlete
134,,DartsPlayer,Athlete
137,,GaelicGamesPlayer,Athlete
144,,HorseRider,Athlete
150,,MotorcycleRider,Motorcyclist_Professional
151,,SpeedwayRider,Driver_TransportationProfessional
156,,RallyDriver,Driver_TransportationProfessional
158,,NetballPlayer,Athlete
160,,Rower,Athlete
162,,Skater,Athlete
164,,SnookerPlayer,Athlete
165,,SnookerChamp,Athlete
170,,TableTennisPlayer,Athlete
174,,BeachVolleyballPlayer,VolleyballPlayer
176,,SumoWrestler,Pro_wrestler
177,,BeautyQueen,Artist_Performer
188,,Vicar,Cleric
190,,AmericanFootballCoach,SportsCoach
192,,VolleyballCoach,SportsCoach
197,,Egyptologist,Professional_Adult
202,,AnimangaCharacter,CartoonCharacter
203,,DisneyCharacter,CartoonCharacter
204,,NarutoCharacter,CartoonCharacter
205,,SoapCharacter,TVCharacter
207,,HorseTrainer,AnimalTrainer
216,,MythologicalFigure,FictionalCharacter
233,,Senator,Politician
235,,VicePrimeMinister,Minister_Governmental
236,,PoliticianSpouse,Celebrity_Political
245,X,BritishRoyalty,Aristocrat
247,,PolishKing,King_HeadOfState
249,,Entomologist,Zoologist
253,,SoccerManager,GeneralManager_SportsTeam
275,X,HumanGene,EukaryoticGene
276,X,MouseGene,EukaryoticGene
286,,BrownDwarf,DwarfStar
297,X,Depth,Depth
332,,FootballMatch,SportsEvent
335,,NationalFootballLeagueEvent,ProfessionalSportsEvent
354,,GeneLocation,Genome-GIS
355,,HumanGeneLocation,Genome-GIS
356,,MouseGeneLocation,Genome-GIS
358,X,GrossDomesticProductPerCapita,ComplexQuantityPredicate
360,,HumanDevelopmentIndex,SocialQuantity
382,,PenaltyShootOut,StructuredSportsEvent
391,,WaterRide,AmusementParkRide
439,,RailwayTunnel,Tunnel
440,,RoadTunnel,Tunnel
441,,WaterwayTunnel,Tunnel
485,X,ClericalAdministrativeRegion,AdministrativeDistrict
486,X,Deanery,AdministrativeDistrict
491,,DistrictWaterBoard,PublicWaterSystem
501,,CityDistrict,Neighborhood
507,,OldTerritory,Territory
556,,GreenAlga,GreenAlga
558,,SportCompetitionResult,SportsCompetition
561,X,MotorsportSeason,SportSeason
565,X,NationalFootballLeagueSeason,SportSeason
566,X,NCAATeamSeason,SportSeason
567,X,SoccerClubSeason,SportSeason
568,X,SoccerLeagueSeason,SportSeason
577,X,PeriodOfArtisticStyle,HistoricalPeriod
579,X,ProtohistoricalPeriod,HistoricalPeriod
585,X,Genre,FacetingCollectionType
597,,SupremeCourtOfTheUnitedStatesCase,CourtCase_Appellate
609,,CollectionOfValuables,Valuable_PersonalPossession
616,X,ArtistDiscography,InformatonStore
621,,EurovisionSongContestEntry,MusicalComposition_Song
627,X,TelevisionSeason,TVMediaProduct
640,,Manhua,ComicBookSeries
641,,Manhwa,ComicBookSeries
