seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
599,,ResearchProject,ResearchProject,OK,web+onto,,,,,ResearchProject,,,,,,,,
600,X,Unknown,Thing,OK,web+onto,not sure if deserving inclusion,,Unknown,,,,,,,,,,
601,,Work,ConceptualWork,OK,web+onto,,,Work,,,,,,,,,,
602,X,Artwork,VisualWork_CW,OK,web+onto,,,,Artwork,,,,,,,,,
603,,Painting,Painting_ArtForm,OK,web+onto+v105,,,,,Painting,,,,,,,,
604,,Sculpture,Sculpture,OK,web+onto,,,,,Sculpture,,,,,,,,
605,X,Broadcast,BroadcastMediaShow_CW,OPENCYC,v105,,,,Broadcast,,,,,,,,,
606,,Cartoon,Cartoon,OK,web+onto,,,,Cartoon,,,,,,,,,
607,,Anime,Anime,OK,web+onto,,,,,Anime,,,,,,,,
608,,HollywoodCartoon,Cartoon,OK,web+onto,,,,,HollywoodCartoon,,,,,,,,
609,,CollectionOfValuables,Valuable_PersonalPossession,NEED,web+onto,,,,CollectionOfValuables,,,,,,,,,
610,,Archive,Archive,OK,web,,,,,Archive,,,,,,,,
611,,Film,Movie_CW,OK,web+onto+v105,,,,Film,,,,,,,,,
612,,LineOfFashion,ClothingTypeByStyle,OPENCYC,web+onto,,,,LineOfFashion,,,,,,,,,
613,,Musical,MusicalDrama,OK,web+onto+v105,,,,Musical,,,,,,,,,
614,,MusicalWork,MusicalComposition,OK,web+onto+v105,,,,MusicalWork,,,,,,,,,
615,X,Album,Album_CW,OK,web+onto+v105,,,,,Album,,,,,,,,
616,X,ArtistDiscography,InformatonStore,NEED,web+onto,functional expression,,,,ArtistDiscography,,,,,,,,
617,,ClassicalMusicComposition,MusicalCompostion_Classical,OK,web,,,,,ClassicalMusicComposition,,,,,,,,
618,,Opera,Opera_CW,OK,web+onto,,,,,Opera,,,,,,,,
619,,Single,MusicSingle,OK,web+onto+v105,,,,,Single,,,,,,,,
620,,Song,MusicalComposition_Song,OK,web+onto+v105,,,,,Song,,,,,,,,
621,,EurovisionSongContestEntry,MusicalComposition_Song,NEED,web+onto+v105,,,,,,EurovisionSongContestEntry,,,,,,,
622,,RadioProgram,RadioShow_CW,OK,web+onto,,,,RadioProgram,,,,,,,,,
623,,Software,SoftwareObject,OK,web+onto+v105,,,,Software,,,,,,,,,
624,,ProgrammingLanguage,ComputerLanguage,OK,web+onto,,,,,ProgrammingLanguage,,,,,,,,
625,,VideoGame,ComputerGameProgram,OK,web+onto+v105,,,,,VideoGame,,,,,,,,
626,,TelevisionEpisode,TVShow_SingleCW,OK,web+onto+v105,,,,TelevisionEpisode,,,,,,,,,
627,X,TelevisionSeason,TVMediaProduct,NEED,web+onto,,,,TelevisionSeason,,,,,,,,,
628,X,TelevisionShow,TVShow_CW,OK,web+onto+v105,,,,TelevisionShow,,,,,,,,,
629,,Website,WorldWideWebPage_PCW,OK,web+onto+v105,,,,Website,,,,,,,,,
630,,WrittenWork,TextualPCW,OK,web+onto,,,,WrittenWork,,,,,,,,,
631,,Annotation,Note_Document,OK,web,,,,,Annotation,,,,,,,,
632,,Reference,ReferenceWork,OK,web,,,,,,Reference,,,,,,,
633,,Book,Book_CW,OK,web+onto+v105,,,,,Book,,,,,,,,
634,,Novel,Novel_CW,OK,web+onto,,,,,,Novel,,,,,,,
635,,LightNovel,Novella,OK,web+onto,,,,,,,LightNovel,,,,,,
636,,Comic,ComicalMode,OK,web+onto,,,,,Comic,,,,,,,,
637,,Comics,ComicBookSeries,OK,web+onto,,,,,Comics,,,,,,,,
638,,ComicStrip,ComicStrip,OK,web,,,,,,ComicStrip,,,,,,,
639,,Manga,Manga,OK,web+onto,,,,,,Manga,,,,,,,
640,,Manhua,ComicBookSeries,NEED,web+onto,,,,,,Manhua,,,,,,,
641,,Manhwa,ComicBookSeries,NEED,web+onto,,,,,,Manhwa,,,,,,,
642,,Drama,PropositionalConceptualWork_DramaGenre,OK,web+onto,,,,,Drama,,,,,,,,
643,,Installment,???,???,web+onto,"not sure how to model, what is in Cyc",,,,Installment,,,,,,,,
644,,MultiVolumePublication,ConceptualWorkSeries_Periodic,OK,web+onto,,,,,MultiVolumePublication,,,,,,,,
645,,PeriodicalLiterature,PeriodicalSeries,OK,web+onto,,,,,PeriodicalLiterature,,,,,,,,
646,,AcademicJournal,JournalSeries,OK,web+onto,,,,,,AcademicJournal,,,,,,,
647,,Magazine,Magazine,OK,web+onto+v105,,,,,,Magazine,,,,,,,
648,,Newspaper,NewspaperSeries,OK,web+onto+v105,,,,,,Newspaper,,,,,,,
649,,Play,Play_CW,OK,web+onto,,,,,Play,,,,,,,,
650,,Poem,Poem_CW,OK,web,,,,,Poem,,,,,,,,
651,,Resume,Resume,OPENCYC,web+onto,,,,,Resume,,,,,,,,
652,,StatedResolution,AuthorizedAgreement,OK,web,,,,,StatedResolution,,,,,,,,
