seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
86,,HockeyTeam,HockeyTeam,OK,web+onto+v105,,,,,,HockeyTeam,,,,,,,
87,,RugbyClub,RugbyTeam,OK,web+onto,,,,,,RugbyClub,,,,,,,
88,,SoccerClub,SoccerTeam,OK,web+onto+v105,,,,,,SoccerClub,,,,,,,
89,,NationalSoccerClub,SportsTeam,NEED,web+onto,,,,,,,NationalSoccerClub,,,,,,
90,,SpeedwayTeam,SportsTeam,NEED,web+onto,,,,,,SpeedwayTeam,,,,,,,
91,,TermOfOffice,TimeInPosition_Served,OPENCYC,web,,,,,TermOfOffice,,,,,,,,
92,,TradeUnion,TradeUnion,OK,web+onto+v105,,,,,TradeUnion,,,,,,,,
93,,Person,Person ,UPDATED,web+onto+v105,,,,Person,,,,,,,,,
94,,Ambassador,Ambassador,OK,web+onto+v105,,,,,Ambassador,,,,,,,,
95,,Archeologist,Archaeologist,OK,web,,,,,Archeologist,,,,,,,,
96,,Architect,Architect,OK,web+onto+v105,,,,,Architect,,,,,,,,
97,,Aristocrat,Aristocrat,OK,web+onto,,,,,Aristocrat,,,,,,,,
98,,Artist,Artist,OK,web+onto+v105,,,,,Artist,,,,,,,,
99,,Actor,Actor,OK,web+onto+v105,,,,,,Actor,,,,,,,
100,,AdultActor,Actor,NEED,web+onto+v105,,,,,,,AdultActor,,,,,,
101,,Pornstar,PornStar,OK,onto,,,,,,,Pornstar,,,,,,
102,,VoiceActor,Actor_Voice,OK,web+onto+v105,,,,,,,VoiceActor,,,,,,
103,,Comedian,Comedian,OK,web+onto+v105,,,,,,Comedian,,,,,,,
104,,ComicsCreator,Cartoonist,UPDATED,web+onto+v105,,,,,,ComicsCreator,,,,,,,
105,,Dancer,Dancer_Performer,OK,web,,,,,,Dancer,,,,,,,
106,,FashionDesigner,FashionDesigner,OK,web+onto,,,,,,FashionDesigner,,,,,,,
107,,Humorist,Comedian,NEED,web,,,,,,Humorist,,,,,,,
108,,MusicalArtist,MusicalPerformer,OK,web+onto+v105,,,,,,MusicalArtist,,,,,,,
109,,BackScene,???,???,web,not sure what this means: scenary artist?,,,,,,BackScene,,,,,,
110,,ClassicalMusicArtist,MusicalPerformer,NEED,web,,,,,,,ClassicalMusicArtist,,,,,,
111,,Instrumentalist,MusicalInstrumentPlayer,OK,web,,,,,,,Instrumentalist,,,,,,
112,,Guitarist,Guitarist,OK,web,,,,,,,,Guitarist,,,,,
113,,Painter,Painter_FineArtist,OK,web+onto,,,,,,Painter,,,,,,,
114,,Photographer,Photographer,OK,web,,,,,,Photographer,,,,,,,
115,,Sculptor,Sculptor,OK,web+onto,,,,,,Sculptor,,,,,,,
116,,Writer,Writer,OK,web+onto+v105,,,,,,Writer,,,,,,,
117,,Poet,Poet,OK,web,,,,,,,Poet,,,,,,
118,,ScreenWriter,ScreenWriter,OK,web,,,,,,,ScreenWriter,,,,,,
119,,Astronaut,Astronaut,OK,web+onto+v105,,,,,Astronaut,,,,,,,,
120,,Athlete,Athlete,OK,web+onto+v105,,,,,Athlete,,,,,,,,
121,X,AustralianRulesFootballPlayer,FootballPlayer_Australian,OPENCYC,web+onto,,,,,,AustralianRulesFootballPlayer,,,,,,,
122,,BadmintonPlayer,BadmintonPlayer,OPENCYC,web+onto+v105,,,,,,BadmintonPlayer,,,,,,,
123,,BaseballPlayer,BaseballPlayer,OK,web+onto+v105,,,,,,BaseballPlayer,,,,,,,
124,,BasketballPlayer,BasketballPlayer,OK,web+onto+v105,,,,,,BasketballPlayer,,,,,,,
125,,Bodybuilder,Bodybuilder,OK,web+onto,,,,,,Bodybuilder,,,,,,,
126,,Boxer,Boxer,OK,web+onto+v105,,,,,,Boxer,,,,,,,
127,,AmateurBoxer,Boxer,OK,web+onto,,,,,,,AmateurBoxer,,,,,,
128,,BullFighter,Matador,OK,web+onto,,,,,,BullFighter,,,,,,,
129,,Canoeist,Athlete,OK,web,,,,,,Canoeist,,,,,,,
130,,ChessPlayer,Strategist,NEED,web+onto,,,,,,ChessPlayer,,,,,,,
131,,Cricketer,Cricketer,OPENCYC,web+onto+v105,,,,,,Cricketer,,,,,,,
132,,Curler,Athlete,NEED,web+onto,,,,,,Curler,,,,,,,
133,,Cyclist,Cyclist_Athlete,"UPDATED,OPENCYC",web+onto+v105,,,,,,Cyclist,,,,,,,
134,,DartsPlayer,Athlete,NEED,web+onto,,,,,,DartsPlayer,,,,,,,
135,,Fencer,SabreFencer,OPENCYC,web,,,,,,Fencer,,,,,,,
